corpus,variant,n,context_page_precision,context_page_recall
mixed,R0,95,0.0762781954887218,0.3850877192982456
mixed,R1,95,0.11218045112781955,0.6162280701754386
mixed,R2,95,0.1500501253132832,0.5412280701754386
mixed,R3,95,0.22220551378446116,0.7267543859649123
mixed,R4,95,0.2725438596491228,0.7894736842105263
mixed,R5,95,0.2725438596491228,0.7894736842105263
mixed,R6,95,0.2725438596491228,0.7894736842105263
original,R0,95,0.1119047619047619,0.6214912280701754
original,R1,95,0.1119047619047619,0.6214912280701754
