corpus,variant,n,context_page_precision,context_page_recall,affected_n,affected_context_page_precision,affected_context_page_recall
mixed,R0,95,0.07602756892230576,0.3850877192982456,52,0.023122710622710624,0.04006410256410256
mixed,R1,95,0.11218045112781955,0.6162280701754386,52,0.0953525641025641,0.484775641025641
mixed,R2,95,0.14731829573934838,0.5289473684210526,52,0.10668498168498168,0.38461538461538464
mixed,R3,95,0.2218546365914787,0.7267543859649123,52,0.21112637362637363,0.6690705128205128
mixed,R4,95,0.2707894736842105,0.7894736842105263,52,0.2985576923076923,0.7692307692307693
mixed,R5,95,0.2707894736842105,0.7894736842105263,52,0.2985576923076923,0.7692307692307693
mixed,R6,95,0.2707894736842105,0.7894736842105263,52,0.2985576923076923,0.7692307692307693
original,R0,95,0.11165413533834587,0.6214912280701754,52,0.0945054945054945,0.49439102564102566
original,R1,95,0.11165413533834587,0.6214912280701754,52,0.0945054945054945,0.49439102564102566
