corpus,variant,questions,citation_questions,structured_score,free_text_score,Q,precision,recall,affected_questions,affected_precision,affected_recall,affected_structured_n,affected_structured_score,affected_free_text_n,affected_free_text_score,affected_Q
mixed,R0,100,95,0.38571428571428573,0.64,0.462,0.07602756892230576,0.3850877192982456,52,0.023122710622710624,0.04006410256410256,41,0.0975609756097561,11,0.4,0.18829268292682927
mixed,R1,100,95,0.5857142857142857,0.74,0.632,0.11218045112781955,0.6162280701754386,52,0.0953525641025641,0.484775641025641,41,0.4634146341463415,11,0.6727272727272727,0.5262084257206209
mixed,R2,100,95,0.44285714285714284,0.6266666666666667,0.49799999999999994,0.14731829573934838,0.5289473684210526,52,0.10668498168498168,0.38461538461538464,41,0.2926829268292683,11,0.45454545454545453,0.3412416851441241
mixed,R3,100,95,0.7428571428571429,0.7533333333333333,0.746,0.2218546365914787,0.7267543859649123,52,0.21112637362637363,0.6690705128205128,41,0.6585365853658537,11,0.7454545454545455,0.6846119733924612
mixed,R4,100,95,0.8857142857142857,0.7466666666666667,0.8439999999999999,0.2707894736842105,0.7894736842105263,52,0.2985576923076923,0.7692307692307693,41,0.8780487804878049,11,0.7272727272727273,0.8328159645232815
mixed,R5,100,95,0.8857142857142857,0.7466666666666667,0.8439999999999999,0.2707894736842105,0.7894736842105263,52,0.2985576923076923,0.7692307692307693,41,0.8780487804878049,11,0.7272727272727273,0.8328159645232815
mixed,R6,100,95,0.8857142857142857,0.7466666666666667,0.8439999999999999,0.61765664160401,0.7473684210526316,52,0.6458104395604396,0.75,41,0.8780487804878049,11,0.7272727272727273,0.8328159645232815
original,R0,100,95,0.6,0.78,0.6539999999999999,0.11165413533834587,0.6214912280701754,52,0.0945054945054945,0.49439102564102566,41,0.4634146341463415,11,0.7272727272727273,0.5425720620842572
original,R1,100,95,0.6,0.78,0.6539999999999999,0.11165413533834587,0.6214912280701754,52,0.0945054945054945,0.49439102564102566,41,0.4634146341463415,11,0.7272727272727273,0.5425720620842572
